sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion,nombre_titular,apellido_titular,cargo_titular,telefono_principal,telefonos_adicionales,celular_de_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_adicionales,sitio_web,sitios_web_adicionales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,comentario_del_horario,temas
ESALV,"Administrativa  -  Contable","Administrativa  -  Contable","Seccion","Karina  Beatriz  ","Cobos","Jefa  de  Sección","503  2521-9400","",503  7862  6494,"",,"","administracion.esalv@mrecic.gov.ar","",,"",Lunes,Viernes,08:00:00,16:00:00,"",
EGUAT,"Agregada  Administrativa","Administración","Seccion","Sonia  ","Tabakian","Jefe  de  Sección  Administrativa","(502)  2464-5900  ext  11  y  17","",,"",,"","administracion-eguat@mrecic.gov.ar","",,"",Lunes,Viernes,00:00:00,00:00:00,"8.00  a  15.00  hs",
ETAIL,"Agregada  Administrativa","Administration  Attaché","Seccion","Guillermina  ","Cheresole","Jefa  de  Sección","+66  2259  0401","",,"","+66  2259  0402","","administracion_etail@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ETURQ,"Agregada  para  Asuntos  Administrativos","Administrative  Affairs","Seccion","Andrea  Vivian  ","Ciampoli","Agregada","+  90  312  446  20  61","",,"","","","eturq@cancilleria.gob.ar","","http://turquia.embajada.gob.ar","",Lunes,Viernes,09:00:00,17:00:00,"",
EBRAS,"Agregado  Aaeronáutico","Agregaduría  de  la  Fuerza  Aerea","Agregaduria  Militar","Comodoro  Jose  Javier","Gianotti","A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea","55  6132127600","",,"","55  6133652870","","agregaerbras@faa.mil.ar","",,"",,,00:00:00,00:00:00,"",
EPORT,"Agregado  Administrativo","Chief  of  Administrative  Section","Seccion","Josefina  M.  ","Gallo  Morando","Jefa  de  Sección  Administrativa","00351  21  79  59  223","",,"","","","eport@cancilleria.gob.ar","",,"",Lunes,Viernes,09:30:00,17:30:00,"Administración  Embajada.",
CGUAY,"AGREGADO  CONSULAR","AGREGADO  ADMINISTRATIVO","Seccion","Rodrigo  Enrique  ","Melian","Agregado","593  4  2221525","",593  4  220  7987,"",,"","cguay@cancilleria.gov.ar","",,"",,,00:00:00,00:00:00,"",
EBRAS,"Agregado  Militar","Agregado  de  Defensa  y  Naval","Agregaduria  Militar","Coronel  Juan  Pablo  ","de  la  Vega","A  cargo  de  la  Agregaduría  Militar","55  61  3365-2850","",,"",,"","agregaduriamilitarbrasil@gmail.com","",,"",,,00:00:00,00:00:00,"",
EBRAS,"Agregado  Naval    y  de  Defensa","Agregado  Militar","Agregaduria  Militar","Comodoro  Carlos  Gabriel","Funes","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","5  6133652850","",,"","55  6133652850","","agregadurianaval@gmail.com","",,"",,,00:00:00,00:00:00,"",
EBOLV,"Agregaduría  Aeronáutica","Agregaduría  Aeronáutica-","Seccion","","","A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea","+591  2  2424487","",,"","+591  2  2424410","","agraebol@yahoo.com.ar","",,"",,,,,"",
EEEUU,"Agregaduria  Aeronautica","Air  Force  Attache","Seccion","Carlos  Gabriel  ","Cendon","A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea","00  1  202  452  8501","",  00  1    703  407  3152,"","00  1  202  822  8051","","airattacheassistant.ar@gmail.com","","www.faaus.org","",,,,,"",
ECHIN,"Agregaduría  Agrícola","Jefe  de  Agregadurìa  Agrìcola","Seccion","Hernan","Viola","Agregado","(+86-10)  8453  0298","",,"","","","echin@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"9  a  18  hs",
EINDI,"Agregaduría  Agrícola","Agricultural  Section","Seccion","Mariano","Beheran","A  cargo  de  la  Agregaduría  de  Agricultura","+91  11    4078  1900","",,"",,"","eindi@mrecic.gov.ar","",,"",Lunes,Viernes,09:30:00,18:00:00,"",
ESURI,"Agregaduria  de  Defensa",,"Seccion","0",,,,"",,"",,"",,"",,"",,,,,"",
EPBAJ,"Agregaduría  de  Defensa  ","Defense  Attache","Agregaduria  Militar","Comodoro  Horacio  Matías","OREFICE  PIERONI","Agregado","(0034)  91-563  54  71","",,"","(0034)  91-563  53  51","","epbaj@cancilleria.gob.ar","",,"",,,,,"",
EPERU,"Agregaduria  de  Defensa  y  Aeronáutica","Agregaduria  Aeronautica  y  de  Defensa","Agregaduria  Militar","Comodoro  Pablo","Asís  Bas","Agregado","(0051-1)  2217563","",(0051-1)  4414444,"",,"","eperu@cancilleria.gob.ar","",,"",,,,,"09:00  A    17:30",
EHILE,"Agregaduría  de  Defensa  y  Aeronáutica","  Aeronautic  and  defense  Attaché  Office","Agregaduria  Militar","Comodoro  Angel  Javier  ","Rojas","A  cargo  de  la  Agregaduría  de  la  Fuerza  Aérea","56  2  2639  6285","",,"","56  2  2639  6285","","agregaerchi@faa.mil.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EEEUU,"Agregaduria  de  Defensa  y  Militar","Militar  Attache","Seccion","Alejandro  Guillermo  ","Liberatori","A  cargo  de  la  Agregaduría  Militar","00  1  202  667  4900","",,"","00  1  202    667  4903","","argattache@amilusa.com","","www.amilusa.com","",,,,,"07:30  a  14:00  hs.",
EBOLV,"Agregaduría  de  Defensa, Militar  y    Fuerza  Aérea","A  cargo  de  la  Agregaduría  de  Defensa.","Agregaduria  Militar","JAVIER  ALBERTO","MARTÍNEZ  PAGOLA","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","+591  2  2424170","591  2  2424458",,"","+591  2  2424458","","defebol10304@yahoo.com.ar","",,"",Lunes,Viernes,09:00:00,15:00:00,"",
EALEM,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defence  Attaché","Agregaduria  Militar","Mariano  Hernán  ","Garcia  Bonini","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","00  49  (30)  2266  8948","",,"","00  49  (30)  8441  7137","","defensa_ealem@mrecic.gov.ar","",,"",,,,,"",
EFRUS,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense  Attaché","Agregaduria  Militar","Gonzalo","Villegas  Campos","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","+74992373821","+84992373821  //  +74992374217  //  +84992374217",,"","","","secretariadefargrusia@gmail.com","",,"",,,,,"",
ECHIN,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregadurìa  Militar","Agregaduria  Militar","General  Marcelo  Rubén  ","Perfetti","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","(+86-10)  6532  3321","",,"","","","echin@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"9  a  18  hs",
EISRA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Air  Attaché  Office","Seccion","Coronel  Bruno  ","Varani","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","972  99564694","",972  544519808,"","","","agrdefis@actcom.co.il","",,"",Lunes,Viernes,,,"08.00  a  14.00  hs",
EKUWA,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","ekuwa","Seccion","0","","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","(2-02)  27369305","",,"","(2-02)  27369202    ","","ekuwa@cancilleria.gob.ar","",,"",,,,,"Domingo  a  Jueves, 09  a  15  hs",
EMEXI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Army, Navy  and  Air  Force  Attaché","Agregaduria  Militar","  Hernán  Diego","Rodriguez  Murgana","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","52  55  5281-6544","",,"",,"","agdefarg@prodigy.net.mx","",,"",,,,,"09:00  a  14:00  Hrs.",
ESAFR,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense, Military, Naval  and  Aeronautical  Office","Agregaduria  Militar","Damián  Gabriel","ORGIAZZI","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","27  12  460  3683","",,"","27  12  460  8875","","agsa@ara.mil.ar","",,"",,,,,"",
ECOLO,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduria  Militar","","","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","+57  601  636  5003","",,"","","","agredefcolombia@gmail.com","",,"",,,,,"",
EITAL,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Defense  Attaché  Office","Agregaduria  Militar","Humberto  Rolando  ","Salas","Agregado","39  064880296","",,"",,"","difesa.argentina@alice.it","",,"",,,00:00:00,00:00:00,"",
EINDI,"Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduría  de  Defensa, Militar, Naval  y  Aeronáutica","Agregaduria  Militar","Coronel  Daniel","Guerra","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",,"",,"",,"","adefindia@gmail.com","",,"",Lunes,Viernes,09:30:00,18:00:00,"",
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","Agregaduría    de  Defensa, Militar, Naval  y  Fuerza  Aérea","Seccion","Auxiliar  del  agregado  de  Defensa  Claudia  Alejandra  ","Riquelme","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",,"",,"",,"","defence@argentine-embassy-uk.org","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
ERUNI,"Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea","Defence  Attach","Agregaduria  Militar","Bernardo  Ian","Odoriz","A  cargo  de  la  Agregaduría  de  Defensa, Militar, Naval  y  Fuerza  Aérea",,"",,"",,"","defence@argentine-embassy-uk.org","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
EBOLV,"Agregaduría  de  Gendarmería  Nacional  Argentina  (GNA)","Oficial  de  Enlace  de  la  Gendarmería  Nacional  Argentina  ante  la  Policía  Boliviana.","Seccion","Iara","Murad","Agregado","+591  2  2417737","",591  64500174,"","591  ","","ebolv@mrecic.gob.ar","",,"",,,,,"08:00  A  17:00",
EBOLV,"Agregaduría  de  Prefectura  Naval","Agregaduría  de  Prefectura  Naval","Seccion","","","Agregado","+591  ","",,"+591  ",,"",,"",,"",,,00:00:00,00:00:00,"",
EECUA,"Agregaduria  Militar","Agregaduria  Militar","Seccion","Carlos  Javier  ","CHANIQUE","Agregado","(593)  2256  -  2292  int.  230","",,"","","","agregaduria_ecuador@homail.com","",,"",Lunes,Viernes,,,"7  A  15  HORAS",
EEGIP,"Agregaduría  Militar","Agregaduría  Militar","Agregaduria  Militar","Coronel  Walter  Marcelo","Nieto","A  cargo  de  la  Agregaduría  Militar","","",,"","","","secregipto@gmail.com","",,"",Domingo,Jueves,09:00:00,15:00:00,"",
EHILE,"Agregaduria  Militar","military    Attaché  Office","Agregaduria  Militar","  Coronel  Pablo  Adolfo  ","Cerda","A  cargo  de  la  Agregaduría  Militar","2  2638  3554","",,"",,"","  agremilchile@ejercito.mil.ar","",,"",,,09:00:00,17:00:00,"",
EEEUU,"Agregaduria  Naval","Naval  Attache","Seccion","Osvaldo  Raúl","Chiñi","A  cargo  de  la  Agregaduría  Naval","00  1  202  626  2100","",00  1  202  626  2131,"","00  1  202  626  2180","","argnavattache@gmail.com","","www.argnavattache-usa.org","",,,,,"",
EHILE,"Agregaduría  Naval","Navy    Attaché  Office","Agregaduria  Militar","Capitán  de  Navío  Carlos  Pedro  ","Schavinsky  Trinchero","A  cargo  de  la  Agregaduría  Naval","56  2  2638  0219","",,"","56  2  2638  0219","","agch@armada.mil.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
CNYOR,"Asistencia  a  Argentinos  en  el  Exterior","Argentine  Community  Affairs  and  Assintance  to  Argentines  Citizens","Seccion","Nelson  Flavio  ","Martín","Jefe  de  Sección","1  212  603  0423","1  212  603  0404",1  646  283  5892,"1  917  861  4738","","","cnyor-asistencia@mrecic.gov.ar","","http://cnyor.mrecic.gov.ar/es/comunidad","",Lunes,Viernes,09:00:00,17:00:00,"",
ETUNE,"Asuntos  Culturales  ","Cultural  Affairs  and  Press","Seccion","Juan  Ignacio  ","Rossi  Sammartino","Jefe  de  Sección  Cultural","216  71  964  782","",,"","","","etune@cancilleria.gob.ar","",,"",,,09:00:00,18:00:00,"",
EKENY,"Asuntos  Multilaterales  (PNUMA-ONU  Hábitat)","Multilateral  (UNEP  /  UN  HABITAT)","Seccion","Joaquín  Elías  ","Salzberg","Jefe  de  Sección","+254  (0)  729  638  081  ","",,"",,"","ekeny@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ETRIA,"Asuntos  Nucleares  (OIEA, CTBTO, Zangger  C., NSG)","Nuclear  Affairs  (IAEA, CTBTO, Zangger  C., NSG)","Seccion","Juan  F.  ","Gutiérrez  Tellería","Jefe  de  Sección",,"",,"",,"","nuclear-etria@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ECANA,"Asuntos  oceánicos  y  polares  -  Educación  y  Deportes  -  Diplomacia  Pública","Ocean  and  Polar  Affairs  -  Education  and  Sports  -  Public  Diplomacy","Seccion","Juan  Pablo  ","Allamian","Jefe  de  Sección",,"",,"",,"","ecana@cancilleria.gob.ar","",,"",Lunes,Viernes,,,"",
ETRIA,"Asuntos  relativos  a  la  Comisión  de  las  Naciones  Unidas  para  el  Derecho  Mercantil  Internacional","Matters  related  to  the  United  Nations  Commission  On  International  Trade  Law","Seccion","Cecilia  Inés  ","Silberberg","Jefa  de  Sección",,"",,"",,"","etria@mrecic.gov.ar;  Email  de  la  Sección  Consular:  consular-etria@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ETRIA,"Asuntos  relativos  a  la  Oficina  de  Asuntos  del  Espacio  Ultraterrestre  (OOSA)","UNOOSA  Affairs","Seccion","Cecilia  Inés  ","Silberberg","Jefa  de  Sección",,"",,"",,"","unov-etria@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ETRIA,"Asuntos  relativos  a  la  Oficina  de  las  Naciones  Unidas  contra  la  Droga  y  el  Delito  (ONUDD)","UNODC  Affairs","Seccion","María  Paula  ","Zannini","Jefa  de  Sección",,"",,"",,"","unov-etria@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ETRIA,"Asuntos  relativos  a  la  Organización  de  las  Naciones  Unidas  para  el  Desarrollo  Industrial  (ONUDI)","UNIDO  Affairs","Seccion","Franco  A.  ","Senilliani  Melchior","Jefe  de  Sección",,"",,"",,"","unov-etria@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ECEUR,"Cancillería","Chancellery","Seccion","María","Crespo","Jefa  de  Sección","(+32)  2  648  93  71","",,"","","","eceur@cancilleria.gob.ar","",,"",,,,,"",""
ECEUR,"Consejería  Agrícola","Agricultural  Office","Seccion","Gastón","Funes","A  cargo  de  la  Agregaduría  de  Agricultura","(+32)  2  640  33  33","",,"","","","gmfunes@magyp.gob.ar","","www.agricola-ue.org","",,,,,"",""
EEEUU,"Consejería  Agrícola","Jefe  de  Consejería  Agricola","Seccion","Cecilia","Marincioni","Jefe  de  Sección  Agrícola","00  1  202  238  6444","",,"","00  1  202  332  1324","","agricola@consejeria-usa.org","",,"",,,,,"09:00  a  18:00  hs.",
EBRAS,"Consejería  Agrícola",,"Seccion","  Javier  Gustavo  ","Dufourquet","A  cargo  de  la  Oficina  Agrícola",,"",,"",,"","jdufourquet@consejeria-brasil.org","",,"",,,,,"",
CPCAR,"Cónsul  Adjunto","Consulado","Seccion","Ramiro  Fernando","Gerszenswit","Cónsul  Adjunto","52  1  998  103  8570","",52  1  998  103  8570,"",,"","cpcar@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EKENY,"Consular  ","Consular  ","Sección  Consular","Demian  ","Dobry","Jefa  de  Sección  Consular","+254  (0)  729  638  081","",+254  (0)  791  258  635,"",,"","consulkenya@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
CGUAY,"CONSULAR","CONSULAR","Seccion","Federico  Manuel  ","Kalbermatten","Cónsul  Adjunto","593  4  2221525","",,"",,"","cguay@cancilleria.gov.ar","",,"",,,00:00:00,00:00:00,"",
EBOLV,"Contabilidad  y  Administración.","Contabilidad  y  Administración.","Seccion","","","Jefe  de  Sección  Administrativa","+591  2  2417737","+591  2  2417737  //  +591  2  2417737",,"",,"",,"ebolv@mrecic.gov.ar","ebolv.mrecic.gov.ar","",,,,,"08:30  a  16:30",
EHAIT,"Cooperación  Internacional","Todo  el  territorio  de  Haiti","Seccion","César  Alberto  ","Faes","Embajador","509  2940-6711/12/13/14","",0050936760359,"",,"","ehait@cancilleria.gob.ar","",,"",Lunes,Viernes,,,"9.00  hs  a  17.00  hs",
ETUNE,"Cooperación  Internacional","International  Co-operation","Seccion","Juan  Ignacio  ","Rossi  Sammartino","Jefe  de  Sección","216  71  964  782","",,"","","","etune@mrecic.gov.ar  (correo  inst.)","",,"",Lunes,Viernes,09:00:00,18:05:00,"",
ECOLO,"Cooperación  Internacional, Ciencia  y  Tecnología","Cooperación, Ciencia  y  Tecnología","Seccion","Federico  ","Romero  Pintos","Jefe  de  Sección","57  601  2880900","",,"",,"","ecolo@cancilleria.gov.ar          ","",,"",,,,,"",
EJAPO,"Cooperación, Ciencia, Tecnología  e  Inversiones","Cooperation","Seccion","Renato  Iván  Agustín  ","Morales","Jefe  de  Sección",,"",,"",,"","ejapo@mrecic.gov.ar","",,"",,,,,"",
EBOLV,"Coordinación  Gral., Sección  Política, Medio  Ambiente  y  Asuntos  Jurídicos","Area  de  límites  y  fronteras.  Defensa  y  cooperación  militar","Seccion","Jesica  Daniela  ","Ambrosini","Jefe  de  Oficina","+591  2  2417737","+591  2  2417737",,"","591  2  2422727","","jed@mrecic.gov.ar","","ebolv.mrecic.gov.ar","",,,,,"08:30  a  16:30",
EKENY,"Cultural","Cultural","Seccion","Cynthia  Alicia  ","Mulville","Jefe/a  de  Misión  Adjunto/a","+254  (0)  729  638  081  ","",,"",,"","ekeny@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ESALV,"Cultural","Seccion  Cultural","Seccion","Horacio  L.  M.  ","Lazzari  Mathieu","Jefe  de  Sección  Cultural","503  25219406","",,"",,"","esalv@mrecic.gov.ar","",,"",Lunes,Viernes,08:00:00,16:00:00,"",
CGMUM,"Deportes","Sports","Seccion","María  Virginia  ","Yapur","Jefa  de  Sección","","",+919930310617,"","","","sports_cgmum@mrecic.gov.ar","","https://cgmum.cancilleria.gob.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
EPBAJ,"Diplomacia  Pública","Public  Diplomacy","Seccion","María  Soledad  ","Bellavigna","Jefa  de  Sección","0031  70  3118416","",,"","","","epbaj@mrecic.gov.ar","",,"",,,,,"",
CNYOR,"Documentación:  certificados  y  legalizaciones","Certificates  and  legalizations","Seccion","María  Belén  ","García  Alcat","Jefa  de  Sección","1  212  603  0401","",1(646)  283-5892,"",,"","cnyor-tramites@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"  Nueva  York, Connecticut, Nueva  Jersey, Maine, Rhode  Island, Nueva  Hampshire, Massachussets, Vermont.",
CNYOR,"Documentación:  gestión  documental  y  RENAPER","Consular  Department","Seccion","Natalia  Lorena  ","Acevedo","Jefa  de  Sección","1  212  603  0400","",1  646  283  5892,"","","","cnyor-tramites@mrecic.gov.ar","","http://cnyor.mrecic.gov.ar/es/content/trámites","",Lunes,Viernes,09:00:00,17:00:00,"",
EKENY,"Económica  -  Comercial","Economic  -  Commercial","Seccion","Demian  ","Dobry","Jefe  de  Sección  Económica  y  Comercial","+254  (0)  729  638  081","",,"",,"","comercialkenya@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EUNGR,"Económico  Comercial","Sección  Económico  Comercial","Seccion","Ricardo  Andrés  ","Vignolo","Jefe  de  Sección  Económica  y  Comercial","36  13260492","",,"",,"","  eungr@mrecic.gov.ar      ","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
CGMUM,"Educación  y  Cultura","Education  and  Culture  Section","Seccion","María  Virginia  ","Yapur","Jefa  de  Sección  Cultural, Educativa  y  Turística","","",+919930310617,"","","","culture_cgmum@mrecic.gov.ar","cgmum@mrecic.gov.ar","https://cgmum.cancilleria.gob.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
EBOLV,"Embajador  Extraordinario  y  Plenipotenciario  de  la  República  Argentina  ","Jefe  de  Misión","Seccion","Marcelo  Adrián  ","Massoni","Embajador","+591  2  2417737","",,"","+591  2  2422728","","ebolv@mrecic.gov.ar","","ebolv.mrecic.gov.ar","",,,,,"08:30  a  16:30",
EMEXI,"Encargada  de  Negocios","Chief  of  Mission","Seccion","Romina  Paola  ","Bocache","Encargada  de  Negocios  a.i","52  5555209430","",,"",,"","privada-emexi@mrecic.gov.ar","",,"",,,,,"9:00  a  17:00  hs",
EFILI,"Fabricio  Sordoni","Fabricio  Sordoni","Sección  Consular","Fabricio  ","Sordoni","Jefe  de  Sección  Consular","63  2  88453218","",63  	9178366925,"",,"","secon_efili@mrecic.gov.ar","visas_efili@mrecic.gov.ar",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EFILI,"Gabriel  Hernán  Rivera","Gabriel  Hernán  Rivera","Seccion","Gabriel  Hernán  ","Rivera","Jefa  de  Sección  Política","63  2  88453218","",63  9178366925  ,"",,"","comercial_efili@mrecic.gov.ar","efili@mrecic.gov.ar",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ESSED,"Jefa  de  Cancillería","Head  of  Chancery","Seccion","Sofía  ","Sánchez  Acosta","Jefa  de  Oficina","39  06  686-5303","",,"","39  06  687  9021","","essed@mrecic.gov.ar","","http://essed.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"",
ESUIZ,"Jefe  de  Cancillería","Deputy  Chief  of  Mission","Seccion","Daniela  Paula  ","Duverne","Jefe  de  Misión  Adjunto",,"",,"",,"","esuiz@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,19:00:00,"",
EITAL,"Jefe  de  Cancillería","Deputy  Chief  of  Mission","Seccion","Gonzalo  Sebastián  ","Mazzeo","Jefe  de  Sección",,"",,"",,"","eital@mrecic.gov.ar","",,"",Lunes,Viernes,09:30:00,16:40:00,"",
EISRA,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Pablo  Javier  ","Hartstein","Jefe  de  Misión  Adjunto","972  9    2520800  /    732520801  ","",,"","","","eisra@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
ETUNE,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Sebastián","Ballina","Jefe  de  Misión  Adjunto","216  71860122","",,"","","","etune@mrecic.gov.ar  ","",,"",Lunes,Viernes,08:00:00,16:00:00,"",
EBELG,"Jefe  de  Cancillería","Head  of  Chancery","Seccion","Jesica  Daniela  ","Ambrosini","Jefa  de  Sección","32  2  647  7812","",,"",,"","ebelg@cancilleria.gob.ar","",,"",,,,,"",
ECORE,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","Gustavo  Rodolfo  ","Adise","Jefe  de  Sección",,"",,"",,"","ecore@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
EESPA,"Jefe  de  Cancillería","Chancellery","Seccion","José  Sebastián  ","Laino","Jefe  de  Oficina","34  917710500  -19","",34  639707564,"","34  91  7710526","","eespa@mrecic.gov.ar","","http://eespa.mrecic.gov.ar/","",Lunes,Viernes,09:00:00,17:00:00,"9.00  a  17.00  hs",
EINDI,"Jefe  de  Cancilleria","Jefe  de  Cancilleria","Seccion","Marcelo  ","Boffi","Jefe  de  Misión  Adjunto","","",,"","","","eindi@mrecic.gov.ar","",,"",Lunes,Viernes,09:30:00,18:00:00,"",
EFRAN,"Jefe  de  Cancillería","Jefe  de  Cancillería","Seccion","M.  Victoria  ","Stöger  Rodríguez","Jefe  de  Oficina","0033144052700","",,"",,"","efran@cancilleria.gob.ar","",,"",,,,,"09:00  a  13:00  hs  y  13:00  a  17:00  hs",
EUNGR,"Jefe  de  Cancillería","Head  of  Chancellery","Seccion","Ricardo  Andrés  ","Vignolo","Jefe  de  Misión  Adjunto","+36  1  326  0492","",,"",,"","  eungr@mrecic.gov.ar      ","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
